author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Die Glücksritter	Literatur-Eichendorff,-Joseph-von/tg598.txt	not defined	581	17119	14351	738	2848	2125	1706	1673	1279	49	17	261	657	184	313
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Die Zauberei im Herbste	Literatur-Eichendorff,-Joseph-von/tg582.txt	not defined	271	5761	4981	339	922	772	640	574	453	11	6	79	245	58	120
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Viel Lärmen um Nichts	Literatur-Eichendorff,-Joseph-von/tg595.txt	not defined	1152	25875	21608	1666	4133	3156	2492	2355	1736	31	7	384	979	277	487
Eichendorff, Joseph von	Romantik	Roman	Romane/Ahnung und Gegenwart	Literatur-Eichendorff,-Joseph-von/tg553.txt	Romantik_Kern	5336	113774	97049	6255	17227	15729	11882	11641	8098	229	70	1827	4333	1356	2013
Fischer, Caroline Auguste	not defined	Roman	Der Günstling	droro_e2/Fischer_Caroline_Auguste_Der_Guenstling.txt	Romantik_E2	1777	20817	16606	721	2512	3450	2244	2388	1334	107	16	206	517	137	189
Fischer, Caroline Auguste	not defined	Roman	Die Honigmonathe	droro_e2/Fischer_Caroline_Auguste_Die_Honigmonathe.txt	Romantik_E2	3779	41744	34196	1498	4998	6980	4348	4699	2332	295	46	451	867	294	316
Fischer, Caroline Auguste	not defined	Roman	Gustavs Verirrungen	droro_e2/Fischer_Caroline_Auguste_Gustavs_Verirrungen.txt	Romantik_E2	2010	25092	19951	933	2899	3920	2666	2806	1699	148	20	275	602	188	209
Fischer, Caroline Auguste	not defined	Roman	Margarethe	droro_e2/Fischer_Caroline_Auguste_Margarethe.txt	Romantik_E2	3188	46276	37974	1385	5271	7974	5192	5554	3042	312	50	435	1009	264	355
Fischer, Caroline Auguste	not defined	Roman	Vierzehn Tage in Paris	droro_e2/Fischer_Caroline_Auguste_Vierzehn_Tage_in_Paris.txt	Romantik_E2	1279	17079	13533	648	2177	2631	1706	1758	954	93	15	196	374	120	127
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Ellernklipp	Literatur-Fontane,-Theodor/tg725.txt	not defined	2701	46320	38586	1238	5736	6856	4436	5203	3028	132	35	532	1107	421	563
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Grete Minde	Literatur-Fontane,-Theodor/tg704.txt	not defined	2563	39669	32528	1185	4870	5914	3973	4556	2791	99	27	455	986	357	468
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Mathilde Möhring	Literatur-Fontane,-Theodor/tg787.txt	not defined	2451	40262	32817	1054	4724	6178	3602	4544	2229	180	22	372	765	266	312
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Schach von Wuthenow	Literatur-Fontane,-Theodor/tg744.txt	not defined	2854	50326	41702	1930	7155	7185	4812	5006	2908	157	22	545	1330	372	651
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Unterm Birnbaum	Literatur-Fontane,-Theodor/tg766.txt	not defined	2618	40207	32646	1183	5225	5680	3686	4066	2304	124	24	399	993	298	422
Fontane, Theodor	Realismus	prose	Romane/Cécile	Literatur-Fontane,-Theodor/tg430.txt	not defined	3868	67394	55324	2549	9515	9033	5986	6482	3824	199	29	669	1785	424	846
Fontane, Theodor	Realismus	prose	Romane/Der Stechlin	Literatur-Fontane,-Theodor/tg647.txt	not defined	9908	153590	124881	5024	18924	21225	13096	15659	8297	451	76	1394	3229	941	1434
Fontane, Theodor	Realismus	prose	Romane/Die Poggenpuhls	Literatur-Fontane,-Theodor/tg631.txt	not defined	2356	39052	31730	1281	4801	5510	3317	4012	2043	153	29	310	798	201	363
Fontane, Theodor	Realismus	prose	Romane/Effi Briest	Literatur-Fontane,-Theodor/tg594.txt	not defined	6961	116986	95279	3625	13637	17316	10359	12661	6418	456	69	981	2574	719	1104
Fontane, Theodor	Realismus	prose	Romane/Frau Jenny Treibel	Literatur-Fontane,-Theodor/tg577.txt	not defined	3758	72188	59242	2590	9087	10239	6360	7236	3791	281	46	619	1632	421	672
Fontane, Theodor	Realismus	prose	Romane/Graf Petöfy	Literatur-Fontane,-Theodor/tg394.txt	not defined	3884	71301	59377	2390	9618	10138	6597	7238	4148	217	39	749	1915	523	949
Fontane, Theodor	Realismus	prose	Romane/Irrungen, Wirrungen	Literatur-Fontane,-Theodor/tg460.txt	not defined	3881	63180	51495	2053	7688	8918	5801	6608	3797	234	42	609	1345	442	600
Fontane, Theodor	Realismus	prose	Romane/L'Adultera	Literatur-Fontane,-Theodor/tg371.txt	not defined	3315	53248	43915	1975	6619	7743	4970	5518	3075	206	34	532	1169	376	559
Fontane, Theodor	Realismus	prose	Romane/Quitt	Literatur-Fontane,-Theodor/tg504.txt	not defined	4510	95845	80088	3157	13182	14039	8887	9884	5342	369	68	1047	2593	738	1114
Fontane, Theodor	Realismus	prose	Romane/Stine	Literatur-Fontane,-Theodor/tg487.txt	not defined	2083	36042	29634	1238	4525	5134	3294	3705	2076	116	20	351	846	241	363
Fontane, Theodor	Realismus	prose	Romane/Unwiederbringlich	Literatur-Fontane,-Theodor/tg542.txt	not defined	4560	97116	81146	3451	12774	13987	8782	9726	5186	388	59	959	2408	647	1039
Fontane, Theodor	Realismus	prose	Romane/Vor dem Sturm	Literatur-Fontane,-Theodor/tg284.txt	not defined	15770	269000	222814	11439	41138	38241	25349	27357	15975	792	133	3030	7584	2128	3660
Fouqué, Caroline de la Motte	not defined	Roman	Der Spanier und der Freiwillige in Paris	droro_e1/Fouque_Caroline_de_la_Motte_Der_Spanier.txt	Romantik_E1	1904	40248	34423	2204	5965	6214	4585	4436	2970	108	18	550	1225	379	618
Fouqué, Caroline de la Motte	not defined	Roman	Die Frau des Falkensteins	droro_e1/Fouque_Caroline_de_la_Motte_Die_Frau_des_Falkensteins.txt	Romantik_E1	4008	78628	66687	4188	10961	11640	8867	8444	5916	176	39	1188	2582	797	1109
Fouqué, Caroline de la Motte	not defined	Roman	Magie der Natur	droro_kern/Fouque_Caroline_de_la_Motte_Magie_der_Natur.txt	Romantik_Kern	2089	49533	41985	2638	7728	7039	5306	4967	3384	61	19	791	1578	560	697
Fouqué, Caroline de la Motte	not defined	Roman	Resignation	droro_e1/Fouque_Caroline_de_la_Motte_Resignation.txt	Romantik_E1	11020	167725	138350	6861	22087	25997	18331	18364	11564	701	97	2024	4591	1349	2001
Fouqué, Caroline de la Motte	not defined	Roman	Rodrich	droro_e1/Fouque_Caroline_de_la_Motte_Rodrich.txt	Romantik_E1	3475	77628	66383	4658	11639	11516	8879	8382	5977	196	40	1068	2681	698	1264
Fouqué, Friedrich de la Motte	Romantik	Erzählung	Erzählungen/Eine Geschichte vom Galgenmännlein	Literatur-Fouque,-Friedrich-de-la-Motte/tg38.txt	not defined	501	11754	9982	638	1622	1609	1166	1137	747	38	4	178	370	98	152
Fouqué, Friedrich de la Motte	Romantik	Erzählung	Erzählungen/Undine	Literatur-Fouque,-Friedrich-de-la-Motte/tg39.txt	not defined	1399	31372	26614	1579	4246	4438	3178	3223	2091	90	18	450	1034	297	416
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Alwin	droro_e1/Fouque_Friedrich_de_la_Motte_Alwin.txt	Romantik_E1	4803	86911	73185	4552	12706	12631	9274	9149	6055	283	57	1121	2777	687	1135
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Der Zauberring	droro_e1/Fouque_Friedrich_de_la_Motte_Der_Zauberring.txt	Romantik_E1	6505	154462	128433	9185	23524	19486	14310	14119	9441	382	94	2027	5049	1321	2029
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Die Fahrten Thiodolfs des Isländers I	droro_e1/Fouque_Friedrich_de_la_Motte_Fahrten_Thiodolfs_Band_I.txt	Romantik_E1	2800	62155	51108	3342	8606	8247	5916	5938	3810	174	43	793	1912	527	802
Fouqué, Friedrich de la Motte (Pellegrin)	not defined	Roman	Die Fahrten Thiodolfs des Isländers II	droro_e1/Fouque_Friedrich_de_la_Motte_Fahrten_Thiodolfs_Band_II.txt	Romantik_E1	2501	55522	46095	3447	8580	7073	5296	5109	3504	117	32	796	1850	499	768
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/»Baron Schmule«	Literatur-Franzos,-Karl-Emil/tg53.txt	not defined	200	3564	3012	131	514	548	378	406	253	12	1	38	128	26	56
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Das »Kind der Sühne«	Literatur-Franzos,-Karl-Emil/tg51.txt	not defined	523	7880	6413	340	1221	1143	809	888	582	19	3	95	185	66	90
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Das Christusbild	Literatur-Franzos,-Karl-Emil/tg54.txt	not defined	583	9015	7430	439	1278	1282	897	929	591	20	5	94	241	64	112
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Der Shylock von Barnow	Literatur-Franzos,-Karl-Emil/tg47.txt	not defined	773	12874	10757	583	1944	1852	1254	1366	824	33	4	140	332	87	184
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Der wilde Starost und die schöne Jütta	Literatur-Franzos,-Karl-Emil/tg50.txt	not defined	419	8553	7235	364	1313	1239	843	880	517	20	1	105	229	65	125
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Esterka Regina	Literatur-Franzos,-Karl-Emil/tg52.txt	not defined	839	13505	11123	494	1591	2122	1369	1565	884	69	10	116	305	78	153
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Nach dem höheren Gesetz	Literatur-Franzos,-Karl-Emil/tg48.txt	not defined	879	14300	11827	565	1989	2047	1353	1536	905	27	0	174	366	123	151
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Ohne Inschrift	Literatur-Franzos,-Karl-Emil/tg55.txt	not defined	521	9149	7756	461	1402	1343	879	951	530	37	2	88	242	50	133
Franzos, Karl Emil	Realismus	prose	Erzählungen/Die Juden von Barnow/Zwei Retter	Literatur-Franzos,-Karl-Emil/tg49.txt	not defined	252	4919	4155	174	751	771	505	538	292	12	1	59	123	35	67
Franzos, Karl Emil	Realismus	prose	Erzählungen/Leib Weihnachtskuchen und sein Kind	Literatur-Franzos,-Karl-Emil/tg56.txt	not defined	5430	74701	59173	1855	9055	11687	7927	8606	5152	269	25	755	1506	489	676
Franzos, Karl Emil	Realismus	prose	Roman/Der Pojaz	Literatur-Franzos,-Karl-Emil/tg4.txt	not defined	11992	174638	138870	5094	23305	26872	17965	19553	11472	551	58	1634	3818	1043	1687
Freytag, Gustav	Realismus	prose	Romane/Die Ahnen	Literatur-Freytag,-Gustav/tg134.txt	not defined	33958	715407	598811	26655	123373	104936	78368	79017	54159	1387	236	10987	26614	6641	11994
Freytag, Gustav	Realismus	prose	Romane/Die verlorene Handschrift	Literatur-Freytag,-Gustav/tg84.txt	not defined	15792	307566	255841	12699	51954	45926	32055	33767	21108	795	111	4776	9897	3054	4450
Freytag, Gustav	Realismus	prose	Romane/Soll und Haben	Literatur-Freytag,-Gustav/tg31.txt	not defined	17471	344741	286467	13920	55806	52448	35773	38327	23108	809	95	5511	11752	3703	5181
Goethe, Johann Wolfgang	not defined	Roman	Aus meinem Leben. Dichtung und Wahrheit	droro_e2/Goethe_Johann_Wolfgang_Aus_meinem_Leben_Dichtung_und_Wahrheit.txt	Romantik_E2	10798	287813	247532	16124	43484	41189	28818	25361	14689	1061	145	4132	9236	2350	3788
Goethe, Johann Wolfgang	Klassik	Erzählung	Erzählungen/Briefe aus der Schweiz. Erste Abteilung	Literatur-Goethe,-Johann-Wolfgang-001/tg1651.txt	not defined	270	5691	4795	263	823	883	605	597	348	16	4	72	153	47	70
Goethe, Johann Wolfgang	Klassik	Erzählung	Erzählungen/Novelle	Literatur-Goethe,-Johann-Wolfgang-001/tg1652.txt	not defined	377	8455	7092	440	1369	1259	949	811	532	26	4	103	271	63	135
Goethe, Johann Wolfgang	Klassik	Erzählung	Erzählungen/Unterhaltungen deutscher Ausgewanderten	Literatur-Goethe,-Johann-Wolfgang-001/tg1643.txt	not defined	1636	36520	31218	1627	5427	5807	4129	3820	2347	137	13	541	1219	331	492
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Die Leiden des jungen Werther	Literatur-Goethe,-Johann-Wolfgang-001/tg1446.txt	not defined	2530	48023	39558	1749	6657	7509	5067	5236	3053	234	33	546	1400	350	622
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Die Wahlverwandtschaften	Literatur-Goethe,-Johann-Wolfgang-001/tg1450.txt	Romantik_E2	4574	93575	79023	3932	12624	14961	10534	9452	5553	382	48	1365	2753	815	1097
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Wilhelm Meisters Lehrjahre	Literatur-Goethe,-Johann-Wolfgang-001/tg1534.txt	Romantik_E2	10453	229328	193985	9526	32364	37509	25840	24589	14321	837	103	3002	7050	1905	2796
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Wilhelm Meisters Wanderjahre	Literatur-Goethe,-Johann-Wolfgang-001/tg1489.txt	Romantik_E2	7732	173850	147154	8404	25494	26837	19103	16992	10145	615	84	2287	5190	1343	2104
Günderode, Karoline von	Romantik	prose	Prosa/Geschichte eines Braminen	Literatur-Guenderode,-Karoline-von/tg100.txt	not defined	180	4310	3698	212	770	614	398	439	244	16	5	61	151	34	67
Günderode, Karoline von	Romantik	prose	Prosa/Prosa aus dem Nachlaß/[Allerley Gedanken]	Literatur-Guenderode,-Karoline-von/tg108.txt	not defined	37	874	765	32	127	157	91	110	47	1	0	11	25	5	7
Hahn-Hahn, Ida Gräfin von	not defined	Roman	Gräfin Faustine	droro_e2/Hahn_Hahn_Ida_Graefin_Faustine.txt	Romantik_E2	5619	97068	78034	3561	13352	14280	9692	10104	6055	389	53	1094	2400	666	1031
Hahn-Hahn, Ida Gräfin von	not defined	Roman	Sibylle	droro_e2/Hahn_Hahn_Ida_Sibylle.txt	Romantik_E2	7727	131377	111327	5605	19440	19218	13169	13513	8208	529	94	1759	4090	976	1753
Haller, Albrecht von	Klassik	prose	Roman/Usong	Literatur-Haller,-Albrecht-von/tg52.txt	not defined	2920	65508	56545	3577	12487	9543	6438	6350	3632	347	30	827	2094	424	771
Hauff, Wilhelm	Romantik	Erzählung	Erzählungen/Das Bild des Kaisers	Literatur-Hauff,-Wilhelm/tg142.txt	not defined	1577	37030	30582	1761	5361	5401	3774	3780	2320	151	13	498	1039	323	451
Hauff, Wilhelm	Romantik	Erzählung	Erzählungen/Die Bettlerin vom Pont des Arts	Literatur-Hauff,-Wilhelm/tg104.txt	not defined	2084	43775	36598	1687	5968	6793	4790	4788	3008	185	19	579	1227	387	532
Hauff, Wilhelm	Romantik	Erzählung	Erzählungen/Jud Süss	Literatur-Hauff,-Wilhelm/tg88.txt	not defined	1401	29115	23727	1201	4286	4449	3047	3140	1871	127	14	337	775	233	308
Hauff, Wilhelm	Romantik	Erzählung	Erzählungen/Phantasien im Bremer Ratskeller	Literatur-Hauff,-Wilhelm/tg87.txt	not defined	996	20339	16848	935	3108	2867	2094	2155	1436	68	13	241	600	158	284
Hauff, Wilhelm	not defined	Roman	Mann im Mond	droro_e1/Hauff_Wilhelm_Mann_im_Mond.txt	Romantik_E1	3704	95486	80282	4466	14133	14277	9447	9831	5486	455	46	1168	2667	804	1102
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Die Karawane/Das Märchen vom falschen Prinzen	Literatur-Hauff,-Wilhelm/tg164.txt	not defined	369	9557	8006	390	1494	1435	1035	984	620	27	5	146	340	95	124
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Die Karawane/Die Errettung Fatmes	Literatur-Hauff,-Wilhelm/tg162.txt	not defined	306	7588	6400	255	1105	1247	907	856	557	24	8	118	248	85	99
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Die Karawane/Die Geschichte von dem Gespensterschiff	Literatur-Hauff,-Wilhelm/tg160.txt	not defined	231	4687	3980	144	699	769	560	531	341	6	2	80	170	62	86
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Die Karawane/Die Geschichte von dem kleinen Muck	Literatur-Hauff,-Wilhelm/tg163.txt	not defined	287	7598	6539	323	1180	1218	876	844	533	26	4	120	232	93	113
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Die Karawane/Die Geschichte von der abgehauenen Hand	Literatur-Hauff,-Wilhelm/tg161.txt	not defined	334	7152	5965	212	1004	1188	824	810	490	29	5	104	216	75	99
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Die Karawane/Die Geschichte von Kalif Storch	Literatur-Hauff,-Wilhelm/tg159.txt	not defined	253	4672	3873	162	697	720	523	522	337	19	1	51	160	32	76
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1826/Märchen als Almanach	Literatur-Hauff,-Wilhelm/tg157.txt	not defined	106	1993	1574	86	289	297	231	219	153	7	4	19	58	15	16
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1827/Der Scheik von Alessandria und seine Sklaven/Abner, der Jude, der nichts gesehen hat	Literatur-Hauff,-Wilhelm/tg168.txt	not defined	271	6175	5063	258	949	929	613	622	335	28	2	56	149	40	74
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1827/Der Scheik von Alessandria und seine Sklaven/Der Affe als Mensch	Literatur-Hauff,-Wilhelm/tg169.txt	not defined	470	10716	8979	505	1643	1588	1114	1139	712	27	3	155	298	109	122
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1827/Der Scheik von Alessandria und seine Sklaven/Der Zwerg Nase	Literatur-Hauff,-Wilhelm/tg167.txt	not defined	635	13425	11097	436	1964	2134	1491	1535	949	38	6	184	412	137	148
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1827/Der Scheik von Alessandria und seine Sklaven/Die Geschichte Almansors	Literatur-Hauff,-Wilhelm/tg170.txt	not defined	289	5904	4911	184	889	961	651	697	411	23	4	75	184	53	64
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1828/Das Wirtshaus im Spessart/Das kalte Herz. Erste Abteilung	Literatur-Hauff,-Wilhelm/tg174.txt	not defined	479	11000	9207	439	1580	1665	1143	1217	749	34	2	122	342	88	138
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1828/Das Wirtshaus im Spessart/Das kalte Herz. Zweite Abteilung	Literatur-Hauff,-Wilhelm/tg177.txt	not defined	566	11932	9786	371	1572	1914	1322	1393	847	41	7	149	292	113	119
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1828/Das Wirtshaus im Spessart/Die Höhle von Steenfoll	Literatur-Hauff,-Wilhelm/tg176.txt	not defined	494	11497	9690	487	1768	1749	1275	1202	774	54	5	172	411	119	164
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1828/Das Wirtshaus im Spessart/Die Sage vom Hirschgulden	Literatur-Hauff,-Wilhelm/tg173.txt	not defined	381	9194	7649	305	1344	1427	1004	1053	661	37	5	109	272	73	109
Hauff, Wilhelm	Romantik	Märchen	Märchen/Märchen-Almanach auf das Jahr 1828/Das Wirtshaus im Spessart/Saids Schicksale	Literatur-Hauff,-Wilhelm/tg175.txt	not defined	763	18025	14948	637	2554	2849	1988	2001	1225	55	7	273	528	182	218
Hauff, Wilhelm	Romantik	Roman	Romane/Lichtenstein	Literatur-Hauff,-Wilhelm/tg4.txt	Romantik_Kern	7503	151344	126224	6512	23010	22874	15713	16073	9604	484	63	1952	4602	1334	1838
Hauff, Wilhelm	Romantik	Roman	Romane/Mitteilungen aus den Memoiren des Satan	Literatur-Hauff,-Wilhelm/tg45.txt	Romantik_E1	5145	108246	90036	5031	16327	15937	11004	10962	6588	362	38	1356	3129	900	1318
Heine, Heinrich	not defined	Roman	Aus den Memoiren des Herren von Schnabelewopski	droro_e1/Heine_Heinrich_aus_den_Memoiren.txt	Romantik_E1	952	19222	16316	1137	3235	2593	1868	1878	1202	49	15	210	615	158	270
Heine, Heinrich	not defined	Roman	Der Rabbi von Bacherach	droro_e1/Heine_Heinrich_Rabbi_von_Bacherach.txt	Romantik_E1	558	15717	13394	1034	2757	1948	1456	1415	961	38	11	153	541	99	222
Heyse, Paul	Realismus	prose	Erzählungen/Andrea Delfin	Literatur-Heyse,-Paul/tg565.txt	not defined	1692	32968	28408	1306	5205	5174	3681	3551	2205	127	17	519	1146	316	556
Heyse, Paul	Realismus	prose	Erzählungen/L' Arrabbiata	Literatur-Heyse,-Paul/tg564.txt	not defined	537	8175	6917	211	1015	1446	990	1045	630	32	4	120	215	82	81
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Dritter Band/Fünfter Abschnitt/[Nachricht aus dem Leben eines bekannten Mannes]	Literatur-Hoffmann,-E.-T.-A./tg121.txt	not defined	142	4912	4178	346	773	632	462	432	286	18	5	59	152	41	70
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Dritter Band/Fünfter Abschnitt/Der unheimliche Gast	Literatur-Hoffmann,-E.-T.-A./tg129.txt	not defined	780	19068	15574	1026	2828	2671	2033	1899	1329	29	11	271	690	191	316
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Dritter Band/Fünfter Abschnitt/Die Brautwahl	Literatur-Hoffmann,-E.-T.-A./tg122.txt	not defined	1035	29306	23994	1668	4352	3980	2918	2704	1770	79	14	368	916	269	377
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Dritter Band/Sechster Abschnitt/[Der Baron von B.]	Literatur-Hoffmann,-E.-T.-A./tg133.txt	not defined	185	4806	4012	240	726	668	499	458	305	14	6	53	154	35	63
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Dritter Band/Sechster Abschnitt/Das Fräulein von Scuderi	Literatur-Hoffmann,-E.-T.-A./tg131.txt	not defined	1186	29440	24294	1357	4472	4204	3178	2802	1894	79	15	427	1003	311	408
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Dritter Band/Sechster Abschnitt/Spielerglück	Literatur-Hoffmann,-E.-T.-A./tg132.txt	not defined	485	14169	11883	732	2255	2066	1564	1395	950	39	6	186	471	129	184
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Erster Abschnitt/[Der Einsiedler Serapion]	Literatur-Hoffmann,-E.-T.-A./tg99.txt	not defined	201	6168	5214	351	955	852	647	609	426	23	6	85	221	55	94
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Erster Abschnitt/[Rat Krespel]	Literatur-Hoffmann,-E.-T.-A./tg100.txt	not defined	357	10058	8586	538	1513	1436	1083	1018	707	29	9	144	353	112	139
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Erster Abschnitt/[Serapion und das serapiontische Prinzip]	Literatur-Hoffmann,-E.-T.-A./tg101.txt	not defined	71	2154	1767	122	298	296	206	198	122	5	1	28	62	20	25
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Erster Abschnitt/Der Dichter und der Komponist	Literatur-Hoffmann,-E.-T.-A./tg103.txt	not defined	396	9694	8144	621	1595	1254	900	807	501	27	3	116	308	87	164
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Erster Abschnitt/Die Fermate	Literatur-Hoffmann,-E.-T.-A./tg102.txt	not defined	359	8681	7298	462	1228	1238	922	868	579	25	8	127	269	90	125
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Zweiter Abschnitt/Der Artushof	Literatur-Hoffmann,-E.-T.-A./tg106.txt	not defined	518	12253	10030	692	1734	1690	1221	1191	774	30	4	150	405	114	177
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Zweiter Abschnitt/Die Bergwerke zu Falun	Literatur-Hoffmann,-E.-T.-A./tg107.txt	not defined	443	11724	9843	723	1771	1561	1160	1106	747	36	14	153	450	126	194
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Zweiter Abschnitt/Ein Fragment aus dem Leben dreier Freunde	Literatur-Hoffmann,-E.-T.-A./tg105.txt	not defined	658	18861	15520	1056	2645	2689	1986	1906	1296	53	13	257	541	191	255
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Erster Band/Zweiter Abschnitt/Nußknacker und Mausekönig	Literatur-Hoffmann,-E.-T.-A./tg108.txt	not defined	838	24512	20476	1267	3619	3480	2476	2476	1592	71	14	240	712	179	309
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Achter Abschnitt/[Die ästhetische Teegesellschaft]	Literatur-Hoffmann,-E.-T.-A./tg142.txt	not defined	32	919	762	58	144	118	93	79	59	6	1	12	20	8	8
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Achter Abschnitt/[Vampirismus]	Literatur-Hoffmann,-E.-T.-A./tg141.txt	not defined	181	5755	4921	355	980	815	640	498	360	8	4	101	204	77	70
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Achter Abschnitt/Der Zusammenhang der Dinge	Literatur-Hoffmann,-E.-T.-A./tg140.txt	not defined	893	23779	19728	1316	3507	3400	2589	2337	1601	63	14	307	768	220	332
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Achter Abschnitt/Die Königsbraut	Literatur-Hoffmann,-E.-T.-A./tg143.txt	not defined	830	21998	18592	1335	3558	2828	2033	1901	1215	56	7	255	629	200	264
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Siebenter Abschnitt/[Zacharias Werner]	Literatur-Hoffmann,-E.-T.-A./tg137.txt	not defined	172	6040	4993	386	939	800	575	488	299	22	4	65	166	44	79
Hoffmann, E. T. A.	Romantik	Erzählung	Erzählungen, Märchen und Schriften/Die Serapionsbrüder/Vierter Band/Siebenter Abschnitt/Erscheinungen	Literatur-Hoffmann,-E.-T.-A./tg138.txt	not defined	179	5458	4516	294	791	764	568	514	347	14	2	67	183	54	88
