author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Mistris Lee	Literatur-Arnim,-Ludwig-Achim-von/tg1249.txt	not defined	430	10760	9060	377	1544	1730	1162	1180	684	90	10	138	327	83	127
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Fünfter Winterabend/Nelson und Meduse	Literatur-Arnim,-Ludwig-Achim-von/tg1250.txt	not defined	369	5848	4900	199	1117	880	679	630	433	15	1	64	171	35	64
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Neunter Winterabend/Die Abenteuer des Prinzen Karl Stuart	Literatur-Arnim,-Ludwig-Achim-von/tg1263.txt	not defined	221	5040	4295	189	913	742	538	497	313	14	3	81	192	43	55
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Neunter Winterabend/Die Flucht des Prinzen Karl	Literatur-Arnim,-Ludwig-Achim-von/tg1264.txt	not defined	713	15385	12889	530	2594	2275	1740	1669	1168	82	10	172	557	104	201
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Schluß/Der Eisgang	Literatur-Arnim,-Ludwig-Achim-von/tg1266.txt	not defined	133	3135	2679	187	628	416	328	299	216	9	1	30	121	19	54
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Schluß/Der Wintergarten, Taufe, Hochzeit	Literatur-Arnim,-Ludwig-Achim-von/tg1267.txt	not defined	71	1727	1489	78	316	263	196	195	134	5	0	17	51	13	20
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Sechster Winterabend/Geheime Geschichte	Literatur-Arnim,-Ludwig-Achim-von/tg1252.txt	not defined	28	833	709	37	126	117	71	71	30	3	0	8	12	1	5
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Sechster Winterabend/Olivier Clisson, Kronfeldherr von Frankreich	Literatur-Arnim,-Ludwig-Achim-von/tg1253.txt	not defined	366	8961	7529	244	1407	1365	990	936	596	41	9	121	326	61	102
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Siebenter Winterabend/Ariel	Literatur-Arnim,-Ludwig-Achim-von/tg1257.txt	not defined	43	990	846	44	144	160	124	107	74	6	2	16	33	10	11
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Siebenter Winterabend/Die drei Erznarren	Literatur-Arnim,-Ludwig-Achim-von/tg1256.txt	not defined	237	8304	7159	332	1224	1287	908	912	563	96	11	118	285	91	108
