author	epoche	genre	title	textPath	label
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Vierter Winterabend/Der Krieg	Literatur-Arnim,-Ludwig-Achim-von/tg1245.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Vierter Winterabend/Philander unter den streifenden Soldaten	Literatur-Arnim,-Ludwig-Achim-von/tg1246.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Zweiter Winterabend/Albert und Concordia	Literatur-Arnim,-Ludwig-Achim-von/tg1239.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Zweiter Winterabend/Amtsbericht von dem Tode des Generals Grafen von Schaffgotsch	Literatur-Arnim,-Ludwig-Achim-von/tg1240.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Der Wintergarten/Zweiter Winterabend/Das wiedergefundene Paradies	Literatur-Arnim,-Ludwig-Achim-von/tg1238.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Die drei liebreichen Schwestern und der glückliche Färber	Literatur-Arnim,-Ludwig-Achim-von/tg1269.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Die Majoratsherren	Literatur-Arnim,-Ludwig-Achim-von/tg1271.txt	not defined
Arnim, Ludwig Achim von	Romantik	Erzählung	Erzählungen/Isabella von Ägypten	Literatur-Arnim,-Ludwig-Achim-von/tg1268.txt	not defined
Arnim, Ludwig Achim von	not defined	Roman	Hollins Liebeleben	droro_kern/Arnim_Achim_von_Hollins_Liebeleben.txt	Romantik_Kern
Arnim, Ludwig Achim von	Romantik	Roman	Romane/Armut, Reichtum, Schuld und Buße der Gräfin Dolores	Literatur-Arnim,-Ludwig-Achim-von/tg1095.txt	Romantik_Kern
Arnim, Ludwig Achim von	Romantik	Roman	Romane/Die Kronenwächter/Erster Band	Literatur-Arnim,-Ludwig-Achim-von/tg1173.txt	Romantik_Kern
Arnim, Ludwig Achim von	Romantik	Roman	Romane/Die Kronenwächter/Zweiter Band	Literatur-Arnim,-Ludwig-Achim-von/tg1216.txt	Romantik_Kern
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Alcandor und Angelica	Literatur-Bernhardi,-Sophie/tg82.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Belinde	Literatur-Bernhardi,-Sophie/tg85.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Das Reh	Literatur-Bernhardi,-Sophie/tg86.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Das Vögelchen	Literatur-Bernhardi,-Sophie/tg83.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Der Einsiedler und die Nonne	Literatur-Bernhardi,-Sophie/tg81.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Der Unglückliche	Literatur-Bernhardi,-Sophie/tg84.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Bezauberungen der Nacht	Literatur-Bernhardi,-Sophie/tg88.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Blume der Liebe	Literatur-Bernhardi,-Sophie/tg80.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Quelle der Liebe	Literatur-Bernhardi,-Sophie/tg78.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Stimme im Walde	Literatur-Bernhardi,-Sophie/tg79.txt	not defined
Bernhardi, Sophie	Romantik	prose	Erzählungen/Wunderbilder und Träume/Die Waldgenossin	Literatur-Bernhardi,-Sophie/tg87.txt	not defined
Bernhardi, Sophie	Romantik	prose	Roman/Evremont	Literatur-Bernhardi,-Sophie/tg20.txt	Romantik_E2
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Aus der Chronika eines fahrenden Schülers	Literatur-Brentano,-Clemens/tg542.txt	not defined
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die drei Nüsse	Literatur-Brentano,-Clemens/tg549.txt	not defined
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die mehreren Wehmüller und ungarischen Nationalgesichter/Baciochis Erzählung vom wilden Jäger	Literatur-Brentano,-Clemens/tg548.txt	not defined
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die mehreren Wehmüller und ungarischen Nationalgesichter/Das Pickenick des Katers Mores	Literatur-Brentano,-Clemens/tg546.txt	not defined
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Die mehreren Wehmüller und ungarischen Nationalgesichter/Devilliers Erzählung von den Hexen auf dem Austerfelsen	Literatur-Brentano,-Clemens/tg547.txt	not defined
Brentano, Clemens	Romantik	Erzählung	Erzählungen/Geschichte vom braven Kasperl und dem schönen Annerl	Literatur-Brentano,-Clemens/tg550.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Baron von Hüpfenstich	Literatur-Brentano,-Clemens/tg569.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Dilldapp	Literatur-Brentano,-Clemens/tg570.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Myrtenfräulein	Literatur-Brentano,-Clemens/tg566.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Schulmeister Klopfstock und seinen fünf Söhnen	Literatur-Brentano,-Clemens/tg572.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von dem Witzenspitzel	Literatur-Brentano,-Clemens/tg567.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von den Märchen oder Liebseelchen	Literatur-Brentano,-Clemens/tg565.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Fanferlieschen Schönefüßchen	Literatur-Brentano,-Clemens/tg571.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Gockel und Hinkel	Literatur-Brentano,-Clemens/tg573.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Komanditchen	Literatur-Brentano,-Clemens/tg574.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Rosenblättchen	Literatur-Brentano,-Clemens/tg568.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Italienische Märchen/Das Märchen von Schnürlieschen	Literatur-Brentano,-Clemens/tg575.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen vom Murmeltier	Literatur-Brentano,-Clemens/tg562.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen vom Schneider Siebentot auf einen Schlag	Literatur-Brentano,-Clemens/tg563.txt	not defined
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen von dem Hause Starenberg und den Ahnen des Müllers Radlauf	Literatur-Brentano,-Clemens/tg561.txt	not defined
